title,stars,text,publishedAtDate,likesCount,name,reviewerNumberOfReviews,isLocalGuide,responseFromOwnerDate,responseFromOwnerText,publishAt,rating,reviewContext/Meal type,reviewContext/Parking space,reviewContext/Price per person,reviewContext/Recommendation for vegetarians,reviewContext/Service,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,reviewId,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewOrigin,reviewUrl,reviewerId,reviewerPhotoUrl,reviewerUrl,textTranslated,reviewContext/Parking type options,reviewImageUrls/4,reviewImageUrls/5,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewImageUrls/10,reviewImageUrls/11,reviewImageUrls/12,reviewImageUrls/13,reviewImageUrls/14,reviewImageUrls/15,reviewImageUrls/16,reviewImageUrls/17,reviewImageUrls/18,reviewImageUrls/19,reviewImageUrls/20,reviewImageUrls/21,reviewImageUrls/22,reviewImageUrls/23,reviewImageUrls/24,reviewImageUrls/25,reviewImageUrls/26,reviewImageUrls/27,reviewImageUrls/28,reviewImageUrls/29,reviewImageUrls/30,reviewImageUrls/31,reviewImageUrls/32,reviewImageUrls/33,reviewImageUrls/34,reviewImageUrls/35,reviewImageUrls/36,reviewImageUrls/37,reviewImageUrls/38,reviewImageUrls/39
Lucca,3,"This place is cute but very small. The food was ok but overpriced and the service was okay we sat at the bar. I could not see me paying for a table or  bottle service here, again way overpriced. The music was not my genre. I accompanied friends out while in town.  It was an okay experience for my 1st time this would not be my 1st choice. In Buckhead/Midtown.",2023-11-23T13:53:40.669Z,0,,147,TRUE,,,5 months ago,,,,,,,3,3,3,ChZDSUhNMG9nS0VJQ0FnSUNsMWVtTkpBEAE,https://lh5.googleusercontent.com/p/AF1QipP7Sou3dbpAVma7AToExUMK4M75KQPk1_bSedos=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMHq77vCMqL4cfYEv2blXjnuSI8mspF1r_44CYZ=w150-h150-k-no-p,,,Google,,108560697158228225218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucca,5,,2023-11-07T00:07:32.730Z,0,,4,FALSE,,,5 months ago,,,,,,,5,5,5,ChZDSUhNMG9nS0VJQ0FnSURGNXBxRVhBEAE,,,,,Google,,114172154363807271546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucca,5,,2023-10-23T03:31:33.196Z,0,,9,FALSE,,,6 months ago,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUQ1bXFiQjhBRRAB,,,,,Google,,104312072520167112996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucca,5,,2023-09-19T11:57:54.183Z,0,,50,TRUE,,,7 months ago,,,,,,,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUNaaDhmVkVREAE,,,,,Google,,117884616232360813638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucca,5,,2023-06-22T18:02:38.425Z,0,,,FALSE,,,10 months ago,,Brunch,,,,,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUNKbk03dXRBRRAB,,,,,Google,,113676582539173574102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucca,4,,2023-04-26T00:01:40.872Z,0,,19,FALSE,,,11 months ago,,,,,,,4,4,4,ChdDSUhNMG9nS0VJQ0FnSURSbm9PU3ZnRRAB,,,,,Google,,100802614982079448134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucca,5,,2023-04-15T13:24:12.686Z,0,,9,FALSE,,,a year ago,,,,$50–100,,,5,5,5,ChdDSUhNMG9nS0VJQ0FnSURSNEl1Tnl3RRAB,,,,,Google,,106119162299061312315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucca,3,"Vibrant club...young crowd....overpriced tables and bottles, but ideal for the fake sophisticated...not my vibe.",2022-12-22T01:55:16.661Z,5,,202,TRUE,,,a year ago,,Other,Plenty of parking,$30–50,,Dine in,4,3,3,ChdDSUhNMG9nS0VJQ0FnSUNCaW9laHdRRRAB,,,,,Google,,112888913617223192729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucca,1,,2022-11-29T20:05:19.340Z,0,,2,FALSE,,,a year ago,,Other,,,,Dine in,,,,ChZDSUhNMG9nS0VJQ0FnSUQtam9maWRBEAE,,,,,Google,,103869692870138418351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucca,5,I love it here great vibes,2022-10-05T15:13:34.045Z,0,,1,FALSE,,,a year ago,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURlZ3NQRjR3RRAB,,,,,Google,,113380461178452628752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
